"heart_rate","time","lap","position"
87,0,1,NA
87,1,1,NA
88,4,1,NA
91,14,1,NA
94,17,1,NA
97,24,1,NA
100,28,1,NA
103,31,1,NA
106,34,1,NA
109,38,1,NA
112,43,1,NA
115,53,1,NA
113,73,1,NA
111,93,1,NA
108,105,1,NA
107,125,1,NA
109,145,1,NA
108,165,1,NA
105,177,1,NA
105,197,1,NA
108,213,1,NA
105,227,1,NA
104,247,1,NA
101,255,1,NA
104,266,1,NA
105,286,1,NA
108,300,1,NA
111,310,1,NA
113,327,1,NA
115,344,1,NA
115,361,1,NA
115,377,1,NA
118,385,1,NA
120,400,1,NA
123,415,1,NA
124,430,1,NA
123,445,1,NA
122,460,1,NA
125,474,1,NA
124,489,1,NA
123,504,1,NA
122,519,1,NA
121,534,1,NA
121,549,1,NA
122,563,1,NA
125,569,1,NA
128,580,1,NA
131,591,1,NA
129,601,1,NA
129,615,2,"Aero"
129,629,2,"Aero"
129,643,2,"Aero"
131,657,2,"Aero"
132,671,2,"Aero"
131,685,2,"Aero"
131,699,2,"Aero"
132,713,2,"Aero"
132,727,2,"Aero"
130,741,2,"Aero"
130,755,2,"Aero"
130,759,2,"Aero"
130,760,2,"Aero"
131,761,2,"Aero"
131,762,2,"Aero"
130,763,2,"Aero"
130,777,2,"Aero"
131,791,2,"Aero"
133,805,2,"Aero"
132,819,2,"Aero"
129,829,2,"Aero"
129,843,2,"Aero"
131,857,2,"Aero"
131,871,2,"Aero"
132,885,2,"Aero"
131,899,2,"Aero"
130,901,2,"Aero"
133,911,3,"Upright"
136,917,3,"Upright"
138,931,3,"Upright"
138,945,3,"Upright"
138,959,3,"Upright"
138,974,3,"Upright"
138,988,3,"Upright"
135,993,3,"Upright"
135,1007,3,"Upright"
135,1021,3,"Upright"
136,1035,3,"Upright"
137,1049,3,"Upright"
134,1061,3,"Upright"
131,1071,3,"Upright"
131,1072,3,"Upright"
132,1086,3,"Upright"
134,1100,3,"Upright"
135,1114,3,"Upright"
137,1128,3,"Upright"
135,1142,3,"Upright"
136,1156,3,"Upright"
136,1170,3,"Upright"
135,1184,3,"Upright"
135,1198,3,"Upright"
136,1202,3,"Upright"
138,1216,4,"Aero"
135,1229,4,"Aero"
132,1235,4,"Aero"
129,1243,4,"Aero"
130,1257,4,"Aero"
133,1270,4,"Aero"
133,1284,4,"Aero"
132,1298,4,"Aero"
135,1310,4,"Aero"
135,1324,4,"Aero"
132,1336,4,"Aero"
135,1350,4,"Aero"
135,1364,4,"Aero"
135,1378,4,"Aero"
134,1392,4,"Aero"
135,1406,4,"Aero"
136,1420,4,"Aero"
136,1434,4,"Aero"
136,1448,4,"Aero"
135,1462,4,"Aero"
138,1473,4,"Aero"
135,1483,4,"Aero"
136,1497,4,"Aero"
135,1502,4,"Aero"
138,1512,5,"Upright"
141,1520,5,"Upright"
144,1531,5,"Upright"
144,1545,5,"Upright"
142,1559,5,"Upright"
142,1573,5,"Upright"
143,1587,5,"Upright"
142,1601,5,"Upright"
142,1615,5,"Upright"
142,1629,5,"Upright"
142,1643,5,"Upright"
140,1657,5,"Upright"
139,1671,5,"Upright"
139,1685,5,"Upright"
140,1699,5,"Upright"
142,1713,5,"Upright"
142,1727,5,"Upright"
141,1741,5,"Upright"
141,1755,5,"Upright"
142,1769,5,"Upright"
141,1783,5,"Upright"
142,1797,5,"Upright"
142,1801,5,"Upright"
141,1815,6,"Aero"
140,1829,6,"Aero"
139,1843,6,"Aero"
137,1857,6,"Aero"
136,1871,6,"Aero"
139,1884,6,"Aero"
138,1898,6,"Aero"
137,1912,6,"Aero"
137,1926,6,"Aero"
137,1940,6,"Aero"
140,1951,6,"Aero"
140,1965,6,"Aero"
138,1979,6,"Aero"
139,1993,6,"Aero"
138,2007,6,"Aero"
140,2021,6,"Aero"
141,2035,6,"Aero"
141,2049,6,"Aero"
140,2063,6,"Aero"
140,2077,6,"Aero"
140,2091,6,"Aero"
139,2102,6,"Aero"
142,2109,7,"Upright"
145,2115,7,"Upright"
147,2129,7,"Upright"
144,2137,7,"Upright"
144,2151,7,"Upright"
146,2165,7,"Upright"
147,2179,7,"Upright"
148,2193,7,"Upright"
147,2207,7,"Upright"
148,2221,7,"Upright"
147,2235,7,"Upright"
148,2249,7,"Upright"
146,2263,7,"Upright"
147,2277,7,"Upright"
145,2291,7,"Upright"
145,2305,7,"Upright"
147,2319,7,"Upright"
147,2333,7,"Upright"
148,2347,7,"Upright"
147,2361,7,"Upright"
149,2375,7,"Upright"
148,2389,7,"Upright"
149,2403,7,"Upright"
145,2410,8,"Aero"
146,2424,8,"Aero"
148,2438,8,"Aero"
147,2452,8,"Aero"
147,2466,8,"Aero"
145,2480,8,"Aero"
143,2494,8,"Aero"
144,2508,8,"Aero"
146,2522,8,"Aero"
145,2536,8,"Aero"
145,2544,8,"Aero"
145,2545,8,"Aero"
144,2546,8,"Aero"
144,2547,8,"Aero"
145,2548,8,"Aero"
145,2562,8,"Aero"
144,2576,8,"Aero"
145,2590,8,"Aero"
145,2604,8,"Aero"
146,2618,8,"Aero"
147,2632,8,"Aero"
147,2646,8,"Aero"
146,2660,8,"Aero"
144,2674,8,"Aero"
145,2688,8,"Aero"
146,2702,8,"Aero"
149,2713,9,"Upright"
152,2722,9,"Upright"
151,2736,9,"Upright"
148,2748,9,"Upright"
148,2762,9,"Upright"
151,2772,9,"Upright"
152,2786,9,"Upright"
153,2800,9,"Upright"
153,2814,9,"Upright"
153,2828,9,"Upright"
153,2842,9,"Upright"
151,2856,9,"Upright"
152,2870,9,"Upright"
152,2884,9,"Upright"
154,2898,9,"Upright"
152,2912,9,"Upright"
150,2926,9,"Upright"
151,2940,9,"Upright"
153,2954,9,"Upright"
153,2968,9,"Upright"
152,2982,9,"Upright"
150,2996,9,"Upright"
149,3002,9,"Upright"
146,3012,10,NA
147,3029,10,NA
144,3035,10,NA
141,3040,10,NA
138,3055,10,NA
135,3068,10,NA
132,3079,10,NA
134,3097,10,NA
134,3115,10,NA
131,3132,10,NA
133,3149,10,NA
132,3166,10,NA
132,3183,10,NA
134,3201,10,NA
137,3215,10,NA
134,3225,10,NA
132,3243,10,NA
133,3260,10,NA
136,3266,10,NA
133,3283,10,NA
130,3293,10,NA
127,3296,10,NA
130,3302,10,NA
127,3319,10,NA
128,3339,10,NA
130,3359,10,NA
132,3379,10,NA
133,3399,10,NA
130,3404,10,NA
127,3413,10,NA
130,3426,10,NA
127,3443,10,NA
128,3463,10,NA
129,3483,10,NA
129,3503,10,NA
130,3522,10,NA
129,3541,10,NA
129,3561,10,NA
130,3580,10,NA
131,3600,10,NA
132,3606,10,NA
